[episode 95] episode length : 155, slowdown : 6.91, rew_sum : -221.11, mean entropy : 2.40
[episode 96] episode length : 172, slowdown : 9.60, rew_sum : -326.50, mean entropy : 2.40
[episode 97] episode length : 143, slowdown : 10.01, rew_sum : -261.25, mean entropy : 2.40
[episode 98] episode length : 139, slowdown : 8.66, rew_sum : -243.07, mean entropy : 2.40
[episode 99] episode length : 183, slowdown : 5.09, rew_sum : -132.37, mean entropy : 2.40
[episode 100] episode length : 163, slowdown : 6.95, rew_sum : -230.48, mean entropy : 2.40
[episode 101] episode length : 145, slowdown : 6.59, rew_sum : -184.42, mean entropy : 2.40
[episode 102] episode length : 149, slowdown : 8.25, rew_sum : -231.01, mean entropy : 2.40
[episode 103] episode length : 151, slowdown : 7.03, rew_sum : -196.71, mean entropy : 2.40
[episode 104] episode length : 166, slowdown : 9.10, rew_sum : -291.21, mean entropy : 2.40
[episode 105] episode length : 151, slowdown : 8.36, rew_sum : -275.96, mean entropy : 2.40
[episode 106] episode length : 149, slowdown : 7.95, rew_sum : -270.72, mean entropy : 2.40
[episode 107] episode length : 144, slowdown : 5.75, rew_sum : -161.38, mean entropy : 2.40
[episode 108] episode length : 188, slowdown : 9.47, rew_sum : -293.84, mean entropy : 2.40
[episode 109] episode length : 154, slowdown : 10.55, rew_sum : -295.28, mean entropy : 2.40
[episode 110] episode length : 190, slowdown : 7.90, rew_sum : -268.71, mean entropy : 2.39
[episode 111] episode length : 146, slowdown : 8.22, rew_sum : -230.14, mean entropy : 2.40
[episode 112] episode length : 144, slowdown : 5.93, rew_sum : -145.32, mean entropy : 2.40
[episode 113] episode length : 171, slowdown : 4.73, rew_sum : -137.04, mean entropy : 2.39
[episode 114] episode length : 168, slowdown : 11.74, rew_sum : -389.98, mean entropy : 2.39
[episode 115] episode length : 192, slowdown : 9.44, rew_sum : -304.47, mean entropy : 2.36
[episode 116] episode length : 164, slowdown : 8.22, rew_sum : -263.52, mean entropy : 2.35
[episode 117] episode length : 153, slowdown : 4.80, rew_sum : -136.48, mean entropy : 2.39
[episode 118] episode length : 136, slowdown : 10.01, rew_sum : -260.17, mean entropy : 2.36
[episode 119] episode length : 177, slowdown : 8.49, rew_sum : -237.62, mean entropy : 2.32
[episode 120] episode length : 160, slowdown : 7.46, rew_sum : -209.85, mean entropy : 2.39
[episode 121] episode length : 135, slowdown : 6.70, rew_sum : -140.80, mean entropy : 2.39
[episode 122] episode length : 208, slowdown : 10.46, rew_sum : -367.35, mean entropy : 2.29
[episode 123] episode length : 157, slowdown : 9.04, rew_sum : -282.69, mean entropy : 2.28
[episode 124] episode length : 184, slowdown : 8.84, rew_sum : -256.35, mean entropy : 2.33
[episode 125] episode length : 187, slowdown : 8.48, rew_sum : -298.02, mean entropy : 2.32
[episode 126] episode length : 218, slowdown : 6.47, rew_sum : -207.24, mean entropy : 2.34
[episode 127] episode length : 158, slowdown : 8.04, rew_sum : -300.66, mean entropy : 2.39
[episode 128] episode length : 132, slowdown : 5.25, rew_sum : -121.14, mean entropy : 2.37
[episode 129] episode length : 180, slowdown : 9.62, rew_sum : -347.21, mean entropy : 2.36
[episode 130] episode length : 169, slowdown : 7.99, rew_sum : -295.76, mean entropy : 2.39
[episode 131] episode length : 143, slowdown : 9.94, rew_sum : -279.22, mean entropy : 2.40
[episode 132] episode length : 151, slowdown : 7.97, rew_sum : -233.46, mean entropy : 2.40
[episode 133] episode length : 164, slowdown : 9.49, rew_sum : -306.20, mean entropy : 2.39
[episode 134] episode length : 190, slowdown : 9.43, rew_sum : -348.94, mean entropy : 2.39
[episode 135] episode length : 140, slowdown : 7.21, rew_sum : -224.58, mean entropy : 2.40
[episode 136] episode length : 178, slowdown : 7.39, rew_sum : -244.02, mean entropy : 2.40
[episode 137] episode length : 143, slowdown : 7.12, rew_sum : -227.87, mean entropy : 2.40
[episode 138] episode length : 177, slowdown : 5.62, rew_sum : -141.02, mean entropy : 2.39
[episode 139] episode length : 162, slowdown : 7.10, rew_sum : -212.86, mean entropy : 2.39
[episode 140] episode length : 157, slowdown : 8.19, rew_sum : -237.60, mean entropy : 2.39
[episode 141] episode length : 157, slowdown : 7.88, rew_sum : -236.78, mean entropy : 2.39
[episode 142] episode length : 179, slowdown : 6.57, rew_sum : -243.34, mean entropy : 2.38
[episode 143] episode length : 171, slowdown : 5.98, rew_sum : -167.44, mean entropy : 2.39
[episode 144] episode length : 154, slowdown : 5.61, rew_sum : -173.92, mean entropy : 2.38
[episode 145] episode length : 193, slowdown : 11.35, rew_sum : -374.68, mean entropy : 2.32
[episode 146] episode length : 160, slowdown : 7.24, rew_sum : -202.84, mean entropy : 2.38
[episode 147] episode length : 178, slowdown : 9.59, rew_sum : -240.05, mean entropy : 2.37
[episode 148] episode length : 170, slowdown : 6.81, rew_sum : -190.77, mean entropy : 2.32
[episode 149] episode length : 157, slowdown : 8.52, rew_sum : -266.09, mean entropy : 2.32
[test res at 149 ]	Avg slowdown of test dataset: 7.93, Avg entropy 2.30
[episode 150] episode length : 158, slowdown : 6.34, rew_sum : -183.99, mean entropy : 2.36
[episode 151] episode length : 152, slowdown : 8.21, rew_sum : -213.73, mean entropy : 2.36
[episode 152] episode length : 211, slowdown : 13.05, rew_sum : -523.18, mean entropy : 2.00
[episode 153] episode length : 163, slowdown : 6.60, rew_sum : -191.39, mean entropy : 2.36
[episode 154] episode length : 165, slowdown : 8.93, rew_sum : -294.71, mean entropy : 2.26
[episode 155] episode length : 184, slowdown : 9.93, rew_sum : -307.96, mean entropy : 2.23
[episode 156] episode length : 163, slowdown : 5.26, rew_sum : -137.29, mean entropy : 2.23
[episode 157] episode length : 171, slowdown : 8.88, rew_sum : -322.27, mean entropy : 2.34
[episode 158] episode length : 148, slowdown : 7.23, rew_sum : -232.44, mean entropy : 2.35
[episode 159] episode length : 212, slowdown : 12.86, rew_sum : -489.02, mean entropy : 2.06
[episode 160] episode length : 215, slowdown : 7.19, rew_sum : -208.47, mean entropy : 2.03
[episode 161] episode length : 148, slowdown : 7.96, rew_sum : -238.82, mean entropy : 2.28
[episode 162] episode length : 180, slowdown : 9.19, rew_sum : -276.57, mean entropy : 2.30
[episode 163] episode length : 168, slowdown : 6.84, rew_sum : -219.76, mean entropy : 2.26
[episode 164] episode length : 141, slowdown : 9.12, rew_sum : -255.26, mean entropy : 2.28
[episode 165] episode length : 157, slowdown : 8.57, rew_sum : -257.22, mean entropy : 2.29
[episode 166] episode length : 166, slowdown : 8.16, rew_sum : -198.17, mean entropy : 2.39
[episode 167] episode length : 173, slowdown : 5.62, rew_sum : -140.51, mean entropy : 2.31
[episode 168] episode length : 144, slowdown : 6.50, rew_sum : -201.72, mean entropy : 2.36
[episode 169] episode length : 168, slowdown : 10.76, rew_sum : -301.22, mean entropy : 2.24
[episode 170] episode length : 143, slowdown : 7.24, rew_sum : -188.33, mean entropy : 2.38
[episode 171] episode length : 245, slowdown : 5.68, rew_sum : -176.47, mean entropy : 2.23
[episode 172] episode length : 138, slowdown : 6.23, rew_sum : -183.22, mean entropy : 2.35
[episode 173] episode length : 138, slowdown : 7.59, rew_sum : -204.89, mean entropy : 2.38
[episode 174] episode length : 172, slowdown : 6.07, rew_sum : -189.24, mean entropy : 2.39
[episode 175] episode length : 180, slowdown : 10.18, rew_sum : -347.75, mean entropy : 2.35
[episode 176] episode length : 199, slowdown : 8.13, rew_sum : -243.89, mean entropy : 2.32
[episode 177] episode length : 159, slowdown : 8.68, rew_sum : -296.02, mean entropy : 2.38
[episode 178] episode length : 140, slowdown : 6.12, rew_sum : -140.74, mean entropy : 2.40
[episode 179] episode length : 166, slowdown : 11.02, rew_sum : -352.61, mean entropy : 2.36
[episode 180] episode length : 171, slowdown : 7.75, rew_sum : -256.19, mean entropy : 2.39
[episode 181] episode length : 159, slowdown : 8.65, rew_sum : -302.72, mean entropy : 2.37
[episode 182] episode length : 157, slowdown : 7.17, rew_sum : -222.40, mean entropy : 2.39
[episode 183] episode length : 145, slowdown : 9.71, rew_sum : -281.60, mean entropy : 2.36
[episode 184] episode length : 131, slowdown : 8.10, rew_sum : -202.40, mean entropy : 2.39
[episode 185] episode length : 154, slowdown : 5.97, rew_sum : -198.69, mean entropy : 2.39
[episode 186] episode length : 156, slowdown : 11.06, rew_sum : -331.74, mean entropy : 2.34
[episode 187] episode length : 169, slowdown : 8.48, rew_sum : -342.15, mean entropy : 2.35
[episode 188] episode length : 144, slowdown : 6.51, rew_sum : -163.24, mean entropy : 2.39
[episode 189] episode length : 193, slowdown : 7.30, rew_sum : -211.57, mean entropy : 2.38
[episode 190] episode length : 174, slowdown : 11.40, rew_sum : -426.34, mean entropy : 2.35
[episode 191] episode length : 173, slowdown : 7.11, rew_sum : -241.85, mean entropy : 2.37
[episode 192] episode length : 147, slowdown : 7.13, rew_sum : -232.11, mean entropy : 2.39
[episode 193] episode length : 144, slowdown : 6.82, rew_sum : -204.52, mean entropy : 2.39
[episode 194] episode length : 138, slowdown : 6.36, rew_sum : -173.74, mean entropy : 2.39
[episode 195] episode length : 173, slowdown : 9.20, rew_sum : -294.34, mean entropy : 2.38
[episode 196] episode length : 158, slowdown : 9.12, rew_sum : -310.47, mean entropy : 2.37
[episode 197] episode length : 149, slowdown : 6.91, rew_sum : -180.75, mean entropy : 2.38
[episode 198] episode length : 135, slowdown : 5.86, rew_sum : -164.44, mean entropy : 2.39
[episode 199] episode length : 161, slowdown : 8.15, rew_sum : -212.30, mean entropy : 2.38
[test res at 199 ]	Avg slowdown of test dataset: 7.35, Avg entropy 2.35
[episode 200] episode length : 149, slowdown : 7.13, rew_sum : -236.67, mean entropy : 2.36
[episode 201] episode length : 145, slowdown : 8.11, rew_sum : -227.07, mean entropy : 2.37
[episode 202] episode length : 139, slowdown : 6.90, rew_sum : -193.60, mean entropy : 2.34
[episode 203] episode length : 147, slowdown : 6.14, rew_sum : -172.05, mean entropy : 2.38
[episode 204] episode length : 142, slowdown : 6.10, rew_sum : -195.27, mean entropy : 2.38
[episode 205] episode length : 155, slowdown : 6.05, rew_sum : -201.12, mean entropy : 2.36
[episode 206] episode length : 144, slowdown : 7.22, rew_sum : -246.39, mean entropy : 2.33
[episode 207] episode length : 177, slowdown : 8.04, rew_sum : -225.17, mean entropy : 2.36
[episode 208] episode length : 193, slowdown : 6.27, rew_sum : -194.50, mean entropy : 2.19
[episode 209] episode length : 152, slowdown : 8.66, rew_sum : -242.58, mean entropy : 2.29
[episode 210] episode length : 188, slowdown : 8.71, rew_sum : -296.52, mean entropy : 2.16
[episode 211] episode length : 157, slowdown : 6.79, rew_sum : -190.58, mean entropy : 2.34
[episode 212] episode length : 139, slowdown : 6.96, rew_sum : -167.15, mean entropy : 2.37
[episode 213] episode length : 152, slowdown : 8.27, rew_sum : -241.06, mean entropy : 2.30
[episode 214] episode length : 169, slowdown : 5.47, rew_sum : -182.49, mean entropy : 2.30
[episode 215] episode length : 226, slowdown : 8.91, rew_sum : -285.65, mean entropy : 2.13
[episode 216] episode length : 157, slowdown : 11.68, rew_sum : -376.22, mean entropy : 2.06
[episode 217] episode length : 151, slowdown : 5.58, rew_sum : -157.11, mean entropy : 2.36
[episode 218] episode length : 147, slowdown : 7.29, rew_sum : -189.58, mean entropy : 2.06
[episode 219] episode length : 203, slowdown : 8.48, rew_sum : -238.46, mean entropy : 1.62
[episode 220] episode length : 138, slowdown : 6.32, rew_sum : -177.87, mean entropy : 2.36
[episode 221] episode length : 171, slowdown : 6.72, rew_sum : -141.09, mean entropy : 2.20
[episode 222] episode length : 178, slowdown : 7.29, rew_sum : -255.04, mean entropy : 1.85
[episode 223] episode length : 163, slowdown : 8.15, rew_sum : -252.68, mean entropy : 1.97
[episode 224] episode length : 181, slowdown : 10.94, rew_sum : -319.23, mean entropy : 1.85
[episode 225] episode length : 185, slowdown : 7.51, rew_sum : -264.70, mean entropy : 1.86
[episode 226] episode length : 246, slowdown : 14.18, rew_sum : -453.78, mean entropy : 1.65
[episode 227] episode length : 160, slowdown : 7.32, rew_sum : -270.70, mean entropy : 2.22
[episode 228] episode length : 129, slowdown : 10.11, rew_sum : -234.52, mean entropy : 1.63
[episode 229] episode length : 229, slowdown : 13.61, rew_sum : -489.91, mean entropy : 1.69
[episode 230] episode length : 163, slowdown : 7.35, rew_sum : -272.13, mean entropy : 2.09
[episode 231] episode length : 151, slowdown : 8.79, rew_sum : -247.20, mean entropy : 2.27
[episode 232] episode length : 140, slowdown : 8.35, rew_sum : -243.11, mean entropy : 2.18
[episode 233] episode length : 167, slowdown : 7.83, rew_sum : -250.60, mean entropy : 1.72
[episode 234] episode length : 399, slowdown : 5.72, rew_sum : -651.89, mean entropy : 0.91
[episode 235] episode length : 199, slowdown : 16.33, rew_sum : -604.33, mean entropy : 1.41
[episode 236] episode length : 148, slowdown : 5.64, rew_sum : -176.75, mean entropy : 2.28
[episode 237] episode length : 178, slowdown : 5.79, rew_sum : -191.22, mean entropy : 2.14
[episode 238] episode length : 155, slowdown : 6.46, rew_sum : -207.07, mean entropy : 2.31
[episode 239] episode length : 195, slowdown : 4.36, rew_sum : -109.01, mean entropy : 1.96
[episode 240] episode length : 206, slowdown : 6.48, rew_sum : -194.94, mean entropy : 2.19
[episode 241] episode length : 143, slowdown : 7.02, rew_sum : -203.64, mean entropy : 2.33
[episode 242] episode length : 160, slowdown : 7.69, rew_sum : -232.06, mean entropy : 2.34
[episode 243] episode length : 187, slowdown : 8.41, rew_sum : -311.30, mean entropy : 2.30
[episode 244] episode length : 170, slowdown : 7.68, rew_sum : -215.10, mean entropy : 2.35
[episode 245] episode length : 140, slowdown : 5.08, rew_sum : -159.57, mean entropy : 2.37
[episode 246] episode length : 179, slowdown : 10.30, rew_sum : -339.91, mean entropy : 2.26
[episode 247] episode length : 142, slowdown : 5.65, rew_sum : -163.21, mean entropy : 2.36
[episode 248] episode length : 130, slowdown : 7.63, rew_sum : -192.98, mean entropy : 2.39
[episode 249] episode length : 142, slowdown : 5.84, rew_sum : -164.49, mean entropy : 2.37
[test res at 249 ]	Avg slowdown of test dataset: 7.28, Avg entropy 2.35
[episode 250] episode length : 148, slowdown : 7.79, rew_sum : -241.35, mean entropy : 2.35
[episode 251] episode length : 170, slowdown : 6.16, rew_sum : -179.17, mean entropy : 2.39
[episode 252] episode length : 155, slowdown : 5.60, rew_sum : -145.61, mean entropy : 2.37
[episode 253] episode length : 180, slowdown : 11.08, rew_sum : -444.56, mean entropy : 2.29
[episode 254] episode length : 142, slowdown : 5.87, rew_sum : -171.33, mean entropy : 2.38
[episode 255] episode length : 162, slowdown : 5.83, rew_sum : -194.34, mean entropy : 2.37
[episode 256] episode length : 167, slowdown : 7.94, rew_sum : -246.39, mean entropy : 2.35
[episode 257] episode length : 146, slowdown : 7.83, rew_sum : -203.71, mean entropy : 2.38
[episode 258] episode length : 166, slowdown : 8.05, rew_sum : -290.96, mean entropy : 2.38
[episode 259] episode length : 142, slowdown : 6.73, rew_sum : -215.27, mean entropy : 2.39
[episode 260] episode length : 162, slowdown : 8.26, rew_sum : -314.06, mean entropy : 2.35
[episode 261] episode length : 190, slowdown : 6.99, rew_sum : -203.81, mean entropy : 2.27
[episode 262] episode length : 165, slowdown : 8.75, rew_sum : -262.60, mean entropy : 2.38
[episode 263] episode length : 140, slowdown : 7.16, rew_sum : -215.12, mean entropy : 2.38
[episode 264] episode length : 155, slowdown : 6.52, rew_sum : -209.79, mean entropy : 2.37
[episode 265] episode length : 150, slowdown : 8.33, rew_sum : -235.35, mean entropy : 2.37
[episode 266] episode length : 162, slowdown : 5.66, rew_sum : -170.02, mean entropy : 2.37
[episode 267] episode length : 129, slowdown : 5.85, rew_sum : -140.33, mean entropy : 2.39
[episode 268] episode length : 146, slowdown : 7.74, rew_sum : -193.44, mean entropy : 2.38
[episode 269] episode length : 159, slowdown : 6.68, rew_sum : -207.20, mean entropy : 2.37
[episode 270] episode length : 160, slowdown : 4.84, rew_sum : -135.65, mean entropy : 2.33
[episode 271] episode length : 147, slowdown : 7.47, rew_sum : -195.14, mean entropy : 2.38
[episode 272] episode length : 202, slowdown : 6.91, rew_sum : -215.06, mean entropy : 2.33
[episode 273] episode length : 136, slowdown : 7.80, rew_sum : -227.72, mean entropy : 2.37
[episode 274] episode length : 148, slowdown : 6.87, rew_sum : -185.62, mean entropy : 2.38
[episode 275] episode length : 137, slowdown : 5.85, rew_sum : -181.65, mean entropy : 2.37
[episode 276] episode length : 168, slowdown : 9.30, rew_sum : -316.62, mean entropy : 2.27
[episode 277] episode length : 255, slowdown : 5.93, rew_sum : -178.37, mean entropy : 2.28
